fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana	RANK					
20230728 160648	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	690	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020001664	0,247155349	756	171	31475	 170.275.929,54 	59	12	41	63		18%	83%
20230728 134803	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	832	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020036280	0,227039238	729	174	32920	 169.992.503,75 	49	13	32	61		20%	82%
20230728 143744	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	478	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020144463	0,217306263	722	127	30230	 169.943.823,09 	53	14	49	51		21%	80%
20230728 133400	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1357	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020150519	0,235588544	752	144	32730	 169.917.586,21 	48	15	12	49		23%	79%
20230728 181341	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	747	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020001241	0,232941374	716	167	30125	 169.869.677,66 	65	16	37	64		24%	77%
20230728 182729	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	747	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020001241	0,232941374	716	167	30125	 169.869.677,66 	66	17	38	65		26%	76%
20230728 085617	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	756	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,050187429	0,302273447	681	9061	32969	 169.129.821,59 	30	18	35	28		27%	74%
20230728 142706	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1025	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020083827	0,215295448	721	134	38093	 169.037.221,89 	52	19	22	58		29%	73%
20230728 070125	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	780	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,057137054	0,173107648	653	4374	31358	 168.850.557,72 	19	20	34	22		30%	71%
20230728 074628	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	453	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,046520847	0,499217652	812	1347	35242	 168.757.238,38 	24	21	53	33		32%	70%
20230728 110542	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	613	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,051949858	0,143023394	502	3145	34018	 168.582.881,56 	39	22	44	25		33%	68%
20230728 095238	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1250	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,044858045	0,273270534	824	10127	33115	 168.574.400,30 	34	23	14	35		35%	67%
20230728 152232	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	704	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020141776	0,229237188	764	126	29082	 168.492.410,79 	56	24	39	52		36%	65%
20230728 175952	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	654	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020000894	0,250616275	652	167	34583	 168.461.254,87 	64	25	42	66		38%	64%
20230728 061937	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	889	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,091817090	0,440367675	60	7084	27789	 168.362.655,17 	14	26	29	13		39%	62%
20230728 103301	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1963	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,046753880	0,284468513	811	9246	34196	 168.272.989,51 	36	27	7	32		41%	61%
20230728 092407	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	860	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,043464857	0,273840083	824	9744	31905	 168.217.833,58 	32	28	30	38		42%	59%
20230728 141115	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	420	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020094787	0,262128395	765	106	34458	 168.204.890,55 	51	29	55	55		44%	58%
20230728 054617	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	2234	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,064563709	0,23385503	819	31130	35914	 168.169.124,44 	9	30	4	18		45%	56%
20230728 073329	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	361	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,046066692	0,492248193	801	1960	33221	 168.150.133,43 	23	31	58	34		47%	55%
20230728 105804	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	593	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,069168933	0,203740665	747	8628	30737	 167.826.481,26 	38	32	45	16		48%	53%
20230728 125240	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	457	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020146123	0,220395991	1024	162	31446	 167.757.052,47 	46	33	52	50		50%	52%
20230728 051501	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1529	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,049805435	0,193179625	363	21041	33078	 167.696.134,93 	6	34	9	29		52%	50%
20230728 091128	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1229	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,050578347	0,304637305	675	9993	29498	 167.599.073,46 	31	35	17	26		53%	48%
20230728 064410	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1098	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,061426189	0,172524787	147	6658	36372	 167.462.110,94 	17	36	20	19		55%	47%
20230728 065156	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	459	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,056054249	0,232051822	257	4478	30562	 167.404.794,60 	18	37	51	24		56%	45%
20230728 081904	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	3239	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,025752239	0,179648841	693	23233	34065	 167.375.374,81 	26	38	1	45		58%	44%
20230728 093740	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1027	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,042969779	0,262263882	833	10129	31845	 167.315.614,69 	33	39	21	39		59%	42%
20230728 075602	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	238	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,050467766	0,412809252	837	911	34249	 167.241.785,61 	25	40	64	27		61%	41%
20230728 114631	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1997	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,049177181	0,14005981	580	14430	31678	 167.068.728,64 	42	41	6	31		62%	39%
20230728 063042	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	462	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,034969163	0,906770168	971	1462	29670	 166.915.397,30 	15	42	50	43		64%	38%
20230728 070558	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	253	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,060836991	0,062395099	772	189	33823	 166.848.241,38 	20	43	63	20		65%	36%
20230728 084501	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	642	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,049423186	0,283518667	676	9194	35759	 166.787.347,83 	29	44	43	30		67%	35%
20230728 100610	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	973	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,044590205	0,263766071	845	11645	36138	 166.762.551,72 	35	45	25	36		68%	33%
20230728 052701	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	836	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,083896767	0,720968315	264	24978	34043	 166.499.785,61 	8	46	31	14		70%	32%
20230728 071437	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	480	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,056982435	0,337324019	447	7874	32380	 166.443.148,43 	21	47	47	23		71%	30%
20230728 113121	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	331	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,067750970	0,173877695	430	120	32047	 166.225.656,67 	41	48	59	17		73%	29%
20230728 124055	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	278	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,037879794	0,192291104	697	151	37173	 166.127.116,94 	45	49	61	42		74%	27%
20230728 112501	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1449	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,038742882	0,450027005	775	30308	36099	 165.980.601,20 	40	50	10	40		76%	26%
20230728 104921	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1133	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,097688050	0,313276052	138	20146	31922	 165.455.289,36 	37	51	19	12		77%	24%
20230728 044007	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	989	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,107619935	0,487981574	752	25668	32667	 165.118.220,39 	2	52	24	11		79%	23%
20230728 171615	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	3215	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020046271	0,999256075	59	49520	30527	 164.962.688,16 	61	53	2	60		80%	21%
20230728 082530	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	295	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,043881891	0,607537502	915	5718	32791	 164.313.656,67 	27	54	60	37		82%	20%
20230728 083517	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	497	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,057140838	0,49953144	163	108	36883	 163.628.541,23 	28	55	46	21		83%	18%
20230728 044549	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	749	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,142282281	0,787839839	259	42636	35765	 163.605.389,81 	3	56	36	10		85%	17%
20230728 050039	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	429	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,178085364	0,345775631	433	12863	32239	 162.914.604,20 	5	57	54	7		86%	15%
20230728 042458	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1176	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,172668440	0,564325496	844	47788	31377	 162.747.380,81 	1	58	18	8		88%	14%
20230728 060243	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1241	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,215696130	0,089184991	112	31770	37172	 162.739.472,26 	12	59	15	5		89%	12%
20230728 051926	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	388	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,263902120	0,873138008	466	36630	34214	 162.620.488,76 	7	60	56	3		91%	11%
20230728 072245	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	2163	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,069952635	0,012774521	11	13989	34357	 159.451.098,95 	22	61	5	15		92%	9%
20230728 045232	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	480	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,237187864	0,273363562	700	39533	33659	 159.314.454,27 	4	62	48	4		94%	8%
20230728 055030	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	75	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,204849006	0,948184916	179	3839	33943	 159.236.487,26 	10	63	66	6		95%	6%
20230728 063404	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	278	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,143280317	0,621659534	538	45252	34141	 158.310.493,25 	16	64	62	9		97%	5%
20230728 060539	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	383	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,277431384	0,016820683	956	17034	31485	 157.115.674,66 	13	65	57	2		98%	3%
20230728 055443	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	174	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,299890640	0,647633008	621	10217	30580	 156.545.637,18 	11	66	65	1		100%	2%
																																								
																																								
Min																	75	1	1	1	0	1	0,1	50	0,5	0	888887	0,0200008945	0,012774521	11	104	27789,00	 156.545.637,18 							
Mediana																	786	1	1	1	#NUM!	1	0,1	50	0,5	#NUM!	888887	0,0462937698	0,246795444	718,5	4426	32523,50	 167.726.593,70 							
Promedio																	950	1	1	1	#DIV/0!	1	0	50	1	#DIV/0!	888887	0,0678498933	0,331021485	625	10280	32852,61	 167.086.125,30 							
Max																	3239	1	1	1	0	1	0,1	50	0,5	0	888887	0,2998906403	0,999256075	1024	49520	38093,00	 175.009.353,82 							
